Abstract_id,Abstract
63,"Abstract Garnets from skarns in the Beinn an Dubhaich granite aureole, Isle of Skye, Scotland, have a large range of concentrations of uranium (0·2–358 ppm) and the rare earth elements (REE) (23–4724 ppm). Variations in these concentrations correlate with major element zonation within the garnets, and with changes in the shape of REE patterns. Typical patterns in most garnets display light REE (LREE) enrichment, flat heavy REE (HREE) distribution and a negative Eu anomaly. These patterns are interpreted to represent equilibrium trace element exchange between pre-existing pyroxene, hydrothermal fluid and calcic garnets. Iron-rich zones are characterized by positive Eu anomalies and an increase in the abundance of the LREE relative to the HREE. These patterns are interpreted as resulting from changes in REE speciation related to the introduction of externally buffered fluid to the skarn system. Relatively Fe-poor zones show strongly HREE-enriched patterns with negative Eu anomalies and in some instances depletions in Y relative to Ho and Dy, which are interpreted as resulting from surface sorption of the REE during rapid, disequilibrium garnet growth. Strong correlations between U abundance and the REE patterns indicate that the same processes have affected U distribution. Both types of pattern can be modified by the effects of closed-system crystallization on REE abundance in the fluid, and changes in fluid major element chemistry."
86,"Abstract Rare earth elements (REEs) have become increasingly important to our modern society due to their strategical significance and numerous high technological applications. Regolith-hosted heavy rare earth element (HREE) deposits in South China are currently the main source of the HREEs, but the ore-forming processes are poorly understood. In these deposits, the REEs are postulated to accumulate in regolith through adsorption on clay minerals. In the Zudong deposit, the world's largest regolith-hosted HREE deposit, clay minerals are dominated by short, stubby, nanometer-scale halloysite tubes (either 10 or 7 Å) and microcrystalline kaolinite in the saprolite and lower pedolith and micrometer-sized vermicular kaolinite in the humic layer and upper pedolith. A critical transformation of the clay minerals in the upper pedolith is coalescence and unrolling of halloysite to form vermicular kaolinite. Microcrystalline kaolinite also transformed to large, well-crystalline vermicular kaolinite. This transformation could result in significant changes in different physicochemical properties of the clay assemblages. Halloysite-abundant clay assemblages in the deep regolith have specific surface area and porosity significantly higher than the kaolinite-dominant clay assemblages in the shallow soils. The crystallinity of clay minerals also increased, exemplified by decrease in Fe contents of the kaolinite group minerals (from ~1.2 wt% in the lower saprolite to ~0.35 wt% in the upper pedolith), thereby indicative of less availability of various types of adsorption sites. Hence, halloysite-abundant clay minerals of high adsorption capacity in deep regolith could efficiently retain the REEs released from weathering of the parent granite. Reduction in adsorption capacity during the clay transformation in shallow depth partially leads to REE desorption, and the released REEs would be subsequently transported to and adsorbed at deeper part of the soil profile. Hence, the clay-adsorbed REE concentration in the lower pedolith and saprolite (~2500 ppm on average) is much higher than the uppermost soils (~400 ppm on average). Therefore, weathering environments that favor the release of the REEs in the shallow soils but preservation of halloysite in the deep regolith can continuously adsorb REEs in the clay minerals to form economically valuable deposits."
123,"The global demand for rare earth elements (REEs) is expected to increase significantly because of their importance in renewable energy and clean storage technologies, which are critical for drastic carbon dioxide emission reduction to achieve a carbon-neutral society. REE ore deposits around the world are scarce and those that have been identified but remain unexploited need to be developed to supply future demands. In this study, the Khalzan Buregtei deposit located in western Mongolia was studied with the aim of upgrading low-grade REE ore via magnetic separation techniques. The total REE content in this ore was ~6720 ppm (~3540 ppm light REE (LREE) + ~3180 ppm heavy REE (HREE)) with bastnaesite, pyrochlore, synchysite, and columbite-(Fe) identified as the main REE-bearing minerals. As the particle size fraction decreased from −4.0 + 2.0 mm to −0.5 + 0.1 mm, the recovery by dry high-intensity magnetic separation (DHIMS) increased from 20% to 70% of total rare earth oxide (TREO) while the enrichment ratio reached 2.8 from 1.3. Although effective, gangue minerals such as quartz and aluminosilicates were recovered (~22%) due most likely to insufficient liberation. Meanwhile, the wet high-intensity magnetic separation (WHIMS) could produce a magnetic concentrate with TREO recovery of ~80% and enrichment ratio of 5.5 under the following conditions: particle size fraction, −106 + 75 μm; feed flow rate, 3.2 L/min; magnetic induction, 0.8 T. These results indicate that combining DHIMS and WHIMS to upgrade the low-grade REE ore from the Khalzan Buregtei deposit is an effective approach."
141,"Feldspathic leucosomes occur in an ultrahigh-temperature (UHT) metamorphosed garnet-bearing paragneiss/quartzite in the Napier Complex, East Antarctica. Coarse (200-400 μm) zircon grains occurring in the leucosomes display 3 textural domains: (I) dark-CL (cathodoluminescence) structured inner-core, (II) bright-CL structured outer-core, and (III) dark-CL structureless rim. Chemical compositions, especially chondrite-normalized REE patterns obtained by SIMS analysis, correlate with these three domains: the inner-core (domain-I) shows HREE-enrichment with Yb(n)/Gd(n) = 3.3, whereas the outer-core (II) and rim (III) have flat to relatively depleted HREE patterns with Yb(n)/Gd(n) = 0.7-0.8. Th/U ratios decrease from 3.2 in the zircon inner-core (I) to 1.2 in outer-core (II) and to 0.3 in the rim (III). Garnets near such zircon grains display two trace element compositional features. Firstly, high core Zr contents (300 ppm) decrease to 100 ppm within 50-100 μm of grain rims. Secondly, the HREE distribution between zircon inner-core (I) and garnet core is 2 at Gd (GdDZrn/Grt = 2), rising to 8 at Lu (LuDZrn/Grt = 8), whereas those defined from zircon outer-core (II) or rim (III) and garnet core or rim are much lower and generally below 1 for Gd thruogh to Lu (GdDZrn/Grt = 0.8-1.2; LuDZrn/Grt = 0.6-0.7). This marked change in the HREE distribution between zircon and garnet must reflect either a change in the minerals with which the zircon was growing or being modified, a change in the physical and chemical conditions of zircon growth, or a combination of the two. Based on comparisons with recent estimates of equilibrium zircon/garnet HREE distribution coefficients we infer that the inner-core (I) did not grow with the garnet that occurs in the paragneiss but grew within a garnet-absent melt that was then injected into the gneiss. The resulting leucosome then underwent wall-rock reaction with the enclosing garnet-bearing gneiss, causing a decrease in garnet to Zr contents to values approaching equilibrium with melt, and precipitating the zircon outer-core (II). Finally, the zircon rim (III) and later monazite formed in a HREE depleted environment. Melt injection, reaction and crystallization of the leucosomes took place within the time interval 2496-2471 Ma at the end of the UHT history of the Napier Complex."
156,"Abstract Rare-earth elements ( REE ) are viewed as 'critical metals' due to a complex array of production and political issues, most notably a near monopoly in supply from China. Red mud, the waste product of the Bayer process that produces alumina from bauxite, represents a potential secondary resource of REE . Karst bauxite deposits represent the ideal source material for REE -enriched red mud as the conditions during formation of the bauxite allow for the retention of REE . The REE pass through the Bayer Process and are concentrated in the waste material. Millions of tonnes of red mud are currently stockpiled in onshore storage facilities across Europe, representing a potential REE resource. Red mud from two case study sites, one in Greece and the other in Turkey, has been found to contain an average of ∼1000 ppm total REE , with an enrichment of light over heavy REE . Although this is relatively low grade when compared with typical primary REE deposits (Mountain Pass and Mount Weld up to 80,000 ppm), it is of interest because of the large volumes available, the cost benefits of reprocessing waste, and the low proportion of contained radioactive elements. This work shows that ∼12,000 tonnes of REE exist in red mud at the two case study areas alone, with much larger resources existing across Europe as a whole."
160,"Subducted sediments play an important role in arc magmatism and crust–mantle recycling. Models of continental growth, continental composition, convergent margin magmatism and mantle heterogeneity all require a better understanding of the mass and chemical fluxes associated with subducting sediments. We have evaluated subducting sediments on a global basis in order to better define their chemical systematics and to determine both regional and global average compositions. We then use these compositions to assess the importance of sediments to arc volcanism and crust–mantle recycling, and to re-evaluate the chemical composition of the continental crust. The large variations in the chemical composition of marine sediments are for the most part linked to the main lithological constituents. The alkali elements (K, Rb and Cs) and high field strength elements (Ti, Nb, Hf, Zr) are closely linked to the detrital phase in marine sediments; Th is largely detrital but may be enriched in the hydrogenous Fe–Mn component of sediments; REE patterns are largely continental, but abundances are closely linked to fish debris phosphate; U is mostly detrital, but also dependent on the supply and burial rate of organic matter; Ba is linked to both biogenic barite and hydrothermal components; Sr is linked to carbonate phases. Thus, the important geochemical tracers follow the lithology of the sediments. Sediment lithologies are controlled in turn by a small number of factors: proximity of detrital sources (volcanic and continental); biological productivity and preservation of carbonate and opal; and sedimentation rate. Because of the link with lithology and the wealth of lithological data routinely collected for ODP and DSDP drill cores, bulk geochemical averages can be calculated to better than 30% for most elements from fewer than ten chemical analyses for a typical drill core (100–1000 m). Combining the geochemical systematics with convergence rate and other parameters permits calculation of regional compositional fluxes for subducting sediment. These regional fluxes can be compared to the compositions of arc volcanics to asses the importance of sediment subduction to arc volcanism. For the 70% of the trenches worldwide where estimates can be made, the regional fluxes also provide the basis for a global subducting sediment (GLOSS) composition and flux. GLOSS is dominated by terrigenous material (76 wt% terrigenous, 7 wt% calcium carbonate, 10 wt% opal, 7 wt% mineral-bound H2O+), and therefore similar to upper continental crust (UCC) in composition. Exceptions include enrichment in Ba, Mn and the middle and heavy REE, and depletions in detrital elements diluted by biogenic material (alkalis, Th, Zr, Hf). Sr and Pb are identical in GLOSS and UCC as a result of a balance between dilution and enrichment by marine phases. GLOSS and the systematics of marine sediments provide an independent approach to the composition of the upper continental crust for detrital elements. Significant discrepancies of up to a factor of two exist between the marine sediment data and current upper crustal estimates for Cs, Nb, Ta and Ti. Suggested revisions to UCC include Cs (7.3 ppm), Nb (13.7 ppm), Ta (0.96 ppm) and TiO2 (0.76 wt%). These revisions affect recent bulk continental crust estimates for La/Nb and U/Nb, and lead to an even greater contrast between the continents and mantle for these important trace element ratios. GLOSS and the regional sediment data also provide new insights into the mantle sources of oceanic basalts. The classical geochemical distinction between `pelagic' and `terrigenous' sediment sources is not valid and needs to be replaced by a more comprehensive understanding of the compositional variations in complete sedimentary columns. In addition, isotopic arguments based on surface sediments alone can lead to erroneous conclusions. Specifically, the Nd/Hf ratio of GLOSS relaxes considerably the severe constraints on the amount of sediment recycling into the mantle based on earlier estimates from surface sediment compositions."
161,"In recent years, the global demand for rare earth elements (REEs) is at a constant raise owing to their critical role in technological advancements. REEs, being listed as one of the critical raw materials, especially scandium (Sc), piques immense research interest in their procurement via secondary resources such as mining effluents and industrial processing residues. Hence, in this study, we explored the feasibility of using green marine algae, Posidonia oceanica , for the selective recovery of Sc and other REEs from diluted waste streams such as acidic mine drainage (AMD) and seawater. The studies were directed towards the investigation of Sc 3+ uptake by the algal biomass in a single- and multi-component system for the determination of optimal process conditions such as pH (1–5), initial feed concentration (1–200 ppm), contact time (0–24 h) and temperature (20–45 °C). The experimental data on Sc 3+ uptake in a single-component system were best described by Langmuir isotherm and pseudo-second-order kinetic models. Further, a major part of the work was focused on understanding the intraseries REE adsorption trend with regard to algal affinity towards the light or heavy REEs. Grafting of 1-(2-pyridylazo)-2-naphthol (PAN) onto algal biomass led to the enhancement of overall adsorption capacities and affinities towards all REEs. PAN grafted onto algal biomass (2-algae-P) of this study demonstrated a maximum Sc 3+ adsorption capacity of 66.81 mg/g (pH 5, 20 °C, 24 h, dosage 1 g/L), comparatively higher to the other algal bio-sorbents found in the literature. Besides, the attachment of the coordination ligand onto the algal biomass also depicted a promising potential to assist the development of optical sensors for the rapid detection of REEs in wastewater."
162,"Abstract— Isotopic and trace element compositions of Martian meteorites show that early differentiation of Mars produced complementary crustal and mantle reservoirs that were sampled by later magmatic events. This paper describes a mass balance model that estimates the rare earth element (REE) content and thickness of the crust of Mars from the compositions of shergottites. The diverse REE and Nd isotopic compositions of shergottites are most easily explained by variable addition of light rare earth element (LREE)–enriched crust to basaltic magmas derived from LREE‐depleted mantle source regions. Antarctic shergottites EET 79001, ALH 77005, LEW 88516, and QUE 94201 all have strongly LREE‐depleted patterns and positive initial 143 Nd isotopic compositions, which is consistent with the generation of these magmas from depleted mantle sources and little or no interaction with enriched crust. In contrast, Shergotty and Zagami have negative initial 143 Nd isotopic compositions and less pronounced depletions of the LREE, which have been explained by incorporation of enriched crustal components into mantle‐derived magmas (Jones, 1989; Longhi, 1991; Borg et al. , 1997). The mass balance model presented here derives the REE composition of the crustal component in Shergotty by assuming it represents a mixture between a mantle‐derived magma similar in composition to EET 79001A and a LREE‐enriched crustal component. The amount of crust in Shergotty is constrained by mixing relations based on Nd‐isotopic compositions, which allows the REE pattern of the crustal component to be calculated by mass balance. The effectiveness of this model is demonstrated by the successful recovery of important characteristics of the Earth's continental crust from terrestrial Columbia River basalts. Self‐consistent results for Nd‐isotopic compositions and REE abundances are obtained if Shergotty contains ∼10–30% of LREE‐enriched crust with &gt;10 ppm Nd. This crustal component would have moderately enriched LREE (Sm/Nd = 0.25–0.27; 147 Sm/ 144 Nd = 0.15–0.17; La/Yb = 2.7–3.8), relatively unfractionated heavy rare earth elements (HREE), and no Eu anomaly. Crust with these characteristics can be produced from a primitive lherzolitic Martian mantle by modest amounts (2–8%) of partial melting, and it would have a globally averaged thickness of &lt;45 km, which is consistent with geophysical estimates. Mars may serve as a laboratory to investigate planetary differentiation by extraction of a primary basaltic crust."
179,"Rare earth elements (REEs) including Scandium (Sc) are critical raw materials which are greatly needed in the advancement of many modern technologies. Due to the problems associated with the primary extraction of mining ores, the procurement of Sc and REEs from the secondary resources are currently explored adopting the principle of sustainability and circular economy. Herein, for the first time, the Electrodialysis (ED) technology based on electrochemical membrane separation process is successfully applied to separate and concentrate REEs from the diluted aqueous system. The overall performance of ED process in the recovery of Sc3+ ions from the wastewater was assessed by applied current, voltage, feed concentration, feed pH, co-ion competition and the overall energy consumption of the process. The REE recovery using the ED process was subjected to systematic investigations using both chronopotentiometric and chronoamperometric analyses. The results showed that ED process could be very promising in the recovery of Sc3+ ions (~99.52% removal) from the diluted wastewater, consuming the energy of only 0.26 kWh/m3 when operated at constant voltage mode (Sc3+ concentration of 20 ppm, pH 4, 1 h)."
184,"One of the key activities during the initial phase of the international GEOTRACES program was an extensive international intercalibration effort, to ensure that results for a range of trace elements and isotopes (TEIs) from different cruises and from different laboratories can be compared in a meaningful way. Here we present the results from the intercalibration efforts on neodymium isotopes and rare earth elements in seawater and marine particles. Fifteen different laboratories reported results for dissolved 143 Nd/ 144 Nd ratios in seawater at three different locations (BATS 15 m, BATS 2000 m, SAFe 3000 m), with an overall agreement within 47 to 57 ppm (2σ standard deviation of the mean). A similar agreement was found for analyses of an unknown pure Nd standard solution carried out by 13 laboratories (56 ppm), indicating that mass spectrometry is the main variable in achieving accurate and precise Nd isotope ratios. Overall, this result is very satisfactory, as the achieved precision is a factor of 40 better than the range of Nd isotopic compositions observed in the global ocean. Intercalibration for dissolved rare earth element concentrations (REEs) by six laboratories for two water depths at BATS yielded a reproducibility of 15% or better for all REE except Ce, which seems to be the most blank‐sensitive REE. Neodymium concentrations from 12 laboratories show an agreement within 9%, reflecting the best currently possible reproducibility. Results for Nd isotopic compositions and REE concentrations on marine particles are inconclusive, and should be revisited in the future."
