abstract_id,value,value_max,is_range,sentence,metric_type_identified,target_entity_identified,entity_type_identified,context_modifier,correct,value_correct,value_max_correct,metric_type_correct,target_entity_correct,entity_type_correct,error_cause
63,0·2 ppm,358 ppm,True,"Garnets from skarns in the Beinn an Dubhaich granite aureole, Isle of Skye, Scotland, have a large range of concentrations of uranium (0·2–358 ppm) and the rare earth elements (REE) (23–4724 ppm).",Invalid_Candidate,uranium,element,none,Yes,,,,,,
63,23 ppm,4724 ppm,True,"Garnets from skarns in the Beinn an Dubhaich granite aureole, Isle of Skye, Scotland, have a large range of concentrations of uranium (0·2–358 ppm) and the rare earth elements (REE) (23–4724 ppm).",Bulk_Concentration,REE,element_group,none,Yes,,,,,,
86,~0.35 wt%,~1.2 wt%,True,"The crystallinity of clay minerals also increased, exemplified by decrease in Fe contents of the kaolinite group minerals (from ~1.2 wt% in the lower saprolite to ~0.35 wt% in the upper pedolith), thereby indicative of less availability of various types of adsorption sites.",Invalid_Candidate,Fe contents,other,none,Yes,,,,,,
86,~2500 ppm,,False,"Hence, the clay-adsorbed REE concentration in the lower pedolith and saprolite (~2500 ppm on average) is much higher than the uppermost soils (~400 ppm on average).",Bulk_Concentration,REE,element_group,average,Yes,,,,,,
86,~400 ppm,,False,"Hence, the clay-adsorbed REE concentration in the lower pedolith and saprolite (~2500 ppm on average) is much higher than the uppermost soils (~400 ppm on average).",Bulk_Concentration,REE,element_group,average,Yes,,,,,,
123,~6720 ppm,,False,"The total REE content in this ore was ~6720 ppm (~3540 ppm light REE (LREE) + ~3180 ppm heavy REE (HREE)) with bastnaesite, pyrochlore, synchysite, and columbite-(Fe) identified as the main REE-bearing minerals.",Bulk_Concentration,Total REE,element_group,approximate (~),Yes,,,,,,
123,~3540 ppm,,False,"The total REE content in this ore was ~6720 ppm (~3540 ppm light REE (LREE) + ~3180 ppm heavy REE (HREE)) with bastnaesite, pyrochlore, synchysite, and columbite-(Fe) identified as the main REE-bearing minerals.",Bulk_Concentration,Light REE,element_group,approximate (~),Yes,,,,,,
123,~3180 ppm,,False,"The total REE content in this ore was ~6720 ppm (~3540 ppm light REE (LREE) + ~3180 ppm heavy REE (HREE)) with bastnaesite, pyrochlore, synchysite, and columbite-(Fe) identified as the main REE-bearing minerals.",Bulk_Concentration,Heavy REE,element_group,approximate (~),Yes,,,,,,
123,20%,70%,True,"As the particle size fraction decreased from −4.0 + 2.0 mm to −0.5 + 0.1 mm, the recovery by dry high-intensity magnetic separation (DHIMS) increased from 20% to 70% of total rare earth oxide (TREO) while the enrichment ratio reached 2.8 from 1.3.",Process_Metric,TREO,oxide,none,Yes,,,,,,
123,1.3,2.8,True,"As the particle size fraction decreased from −4.0 + 2.0 mm to −0.5 + 0.1 mm, the recovery by dry high-intensity magnetic separation (DHIMS) increased from 20% to 70% of total rare earth oxide (TREO) while the enrichment ratio reached 2.8 from 1.3.",Process_Metric,TREO,oxide,none,Yes,,,,,,
123,~22%,,False,"Although effective, gangue minerals such as quartz and aluminosilicates were recovered (~22%) due most likely to insufficient liberation.",Process_Metric,Gangue minerals,other,approximate (~),Yes,,,,,,
123,~80%,,False,"Meanwhile, the wet high-intensity magnetic separation (WHIMS) could produce a magnetic concentrate with TREO recovery of ~80% and enrichment ratio of 5.5 under the following conditions: particle size fraction, −106 + 75 μm; feed flow rate, 3.2 L/min; magnetic induction, 0.8 T.",Process_Metric,TREO,oxide,approximate (~),Yes,,,,,,
123,5.5,,False,"Meanwhile, the wet high-intensity magnetic separation (WHIMS) could produce a magnetic concentrate with TREO recovery of ~80% and enrichment ratio of 5.5 under the following conditions: particle size fraction, −106 + 75 μm; feed flow rate, 3.2 L/min; magnetic induction, 0.8 T.",Process_Metric,TREO,oxide,none,Yes,,,,,,
780,530.2 ppm,,False,"The wet, magnetic separation process resulted in the partitioning of a specific set of transition metals (such as Fe, Mn, Cr, V, Ni, Zn, Cu, Co and Mo) into the magnetic fraction (MF) of CFA, while REEs partitioned into the NMF with a total REE content of 530.2 ppm; thus, the matrix elements of CFA were extracted with ease.",Bulk_Concentration,Total REE,element_group,none,Yes,,,,,,
780,537.6 ppm,,False,Zeolitisation resulted in a solid zeolite product (hydroxysodalite) with a total REE content of 537.6 ppm.,Bulk_Concentration,Total REE,element_group,none,Yes,,,,,,
780,259.1 ppm,,False,"The process of zeolitisation also resulted in the selective enrichment of Ce (259.1 ppm) into the solid zeolite product (hydroxysodalite), while other REEs were largely partitioned into the liquid phase.",Individual_Entity_Concentration,Ce,element,none,Yes,,,,,,
997,63 ppm,,False,"Among the studied TPSs, Pr has the highest concentration among REEs in ash, reaching up to 63 ppm.",Individual_Entity_Concentration,Pr,element,maximum,Yes,,,,,,
997,0.3,4.5,True,The Outlook Coefficient (Cout) of REEs is in the range of 0.3 - 4.5 and 0.1 - 1.2 for coal and CFA respectively.,Process_Metric,REEs (Outlook Coefficient),other,none,Yes,,,,,,
